title,type,question,A,B,C,D,answer,image,explain
FCE Mock 1,radio,"Which of the following statements about rights and responsibilities of unit holders' are correct?
I. Rights of unit holders are stipulated in the deed and offering documents
II. Unit holders do not have the right to require the funds' asset to be transferred to them
III. Investors are responsible for ensuring compliance with investment guidelines
IV. Unit holders liabilities are limited",All of the above,"I, III and IV","I, II and III","I, II and IV",D,,"Which of the following statements about unit holders' rights are correct?
I. Rights of unit holders are stipulated in the deed and offering documents
II. Unit holders do not have the right to require the funds' asset to be transferred to them
IV. Unit holders liabilities are limited"
FCE Mock 1,radio,Index Fund is also referred to as _________ due to its modus operandi of “tracking” an index.,Passive Fund,Tracker Fund,Dynamic Fund,Growth Fund,B,,"Index Fund is also referred to as TRACKER FUND due to its modus operandi of ""tracking"" an Index."
FCE Mock 1,radio,"The following examples are true about a Consultant abetting others in committing a misconduct, EXCEPT:",Collaborating with others in a scheme to carry out misconduct,Encouraging or directing another person to commit misconduct,"Knowingly assisting another person, either through action or omission, to commit misconduct",It refers to when a Consultant reports acts of misconduct to FIMM,D,,It refers to when a Consultant reports acts of misconduct to FIMM
FCE Mock 1,radio,"Potential investors will be given a copy (either a hard or soft copy) of the disclosure material when they request for subscription to a Scheme. In the case of Private Retirement Scheme (PRS), this disclosure material is known as:",Financial Report,Information Memorandum,Disclosure Document,Prospectus,C,,"PRS - Disclosure Document
Unit Trust - Prospectus
Source: Study Guide > Pg. 3-16"
FCE Mock 1,radio,"According to the World Bank’s multi-pillar framework, which of the following pillars are part of Malaysia’s retirement system?
I. Pillar 0 - State (Base or social pension)
II. Pillar 1 - Mandatory (Public pension plans that are publicly managed)
III. Pillar 2 - Mandatory (Occupational/personal pension plans)
IV. Pillar 3 - Voluntary (Voluntary personal pension schemes)
V. Pillar 4 - Voluntary (Non-financlal arrangements/informal support informal support e.g. family financial support by the younger generation)","III, IV and V","I, II and III","I, III, IV and V","II, III and V",C,,NOTE: Pillar 1 - Mandatory (Public pension plans that are publicly managed) is NOT AVAILABLE IN MALAYSIA
FCE Mock 1,radio,"Under the Securities Commission Malaysia’s Guidelines on Advertising for Capital Market Products and Services, which parties must comply with these requirements?
I. Unit Trust Management Companies
II. Institutional Unit Trust Scheme Advisers
III. Private Retirement Scheme Consultants
IV. Corporate Unit Trust Scheme Advisers","I, II and III",I and II,"I, II and IV",All of the above,D,,"Securities Commission Malaysia's Guidelines on Advertising for Capital Market Products and Services apply to the following:
I. Unit Trust Management Companies
II. Institutional Unit Trust Scheme Advisers
III. Private Retirement Scheme Consultants
IV. Corporate Unit Trust Scheme Advisers"
FCE Mock 1,radio,"Which types of fees and charges can affect PRS Members' return on Investments?
I. Commission
II. Annual Management Fees
III. Annual trustee fee
IV. Insurance rider premiums","I, II and III",I and III,III and IV,II and IV,A,,"Which of the following fees and charges can affect PRS Members' return on Investments?
I. Commission
II. Annual Management Fees
III. Annual trustee fee"
FCE Mock 1,radio,"In a comprehensive investment planning engagement, a Consultant is expected to:
I. determine the client's financial objectives and his order of importance
II. analyse the client's financial position and cash flow
III. recommend products that can promise fixed future returns without risk
IV. determine the risk and return characteristics of the client's current investments","I, III and IV",All of the above,"I, II and III","I, II and IV",D,,"In a comprehensive investment planning engagement, a consultant should:
I. determine the client's financial objectives and his order of importance
Il. analyse the client's financial position and cash flow
IV. determine the risk and return characteristics of the client's current investments"
FCE Mock 1,radio,"Parties to a UTS trust deed include:
I. UTMC
II. IUTA
III. CUTA
IV. Trustee","I, II and III",I only,"I, II, III and IV",I and IV,D,,"Parties to a UTS trust deed include:
I. UTMC
IV. Trustee
And investors"
FCE Mock 1,radio,"Sunrise Growth Fund has a total NAV of RM105,885,936 and units in circulation of 138,000,000. Assuming there is no transaction cost, the selling price of the fund is RM0.7673. What is the NAV per unit of Sunrise Growth Fund?",RM3.77 ,RM0.77 ,RM1.90 ,RM0.13 ,B,,RM0.77 
FCE Mock 1,radio,"Which of the following scenarios could happen when an organisation does not foster a strong compliance culture?
I. Increased client complaints and costs of restitution
II. Increased risk of litigation by clients
III. Decreased number of clients due to inability to create trust and confidence
IV. Improved professionalism among consultants",I and II,All of the above,"I, II and III",I,C,,"Which of the following scenarios could happen when an organisation fails to inculcate a strong compliance culture?
I. Increased client complaints and costs of restitution
II. Increased risk of litigation by clients
Ill. Decreased number of clients due to inability to create trust and confidence"
FCE Mock 1,radio,"Which of the following scenarios where PRS withdrawals will be exempted from the 8% tax penalty?
I. A member withdraws savings to renovate his home
II. Member is leaving Malaysia permanently
III. Member wants to repay housing loan
IV. Member wants to pay the medical expenses for his/her daughter who is suffering from a serious illness","II, III and IV","I, II and IV","I, II and III","I, Ill and IV",A,,"Which of the following scenarios where PRS withdrawals will be exempted from the 8% tax penalty?
Il. Member is leaving Malaysia permanently
Ill. Member wants to repay housing loan
IV. Member wants to pay the medical expenses for his/her daughter who is suffering from a serious illness
NOT FOR house renovation"
FCE Mock 1,radio,Which of the following is the primary role of a Trustee?,"Launching, promoting, and administering the fund on behalf of investors",Ensures that the Management Company adheres to all requirements stipulated in the deed and offering documents,Making day-to-day investment decisions such as stock selection and portfolio allocation,Conducting roadshows and education programmes for potential investors,B,,Ensures that the Management Company adheres to all requirements stipulated in the deed and offering documents
FCE Mock 1,radio,"Which of the following statements are TRUE?
I. UTS provides an ideal investment avenue for investors with limited capital
II. UTS enables investors to accumulate wealth and manage inflation in medium to long term
III. Generally, investments in UTS may provide better returns with an acceptable level of risk in the long term
IV. Investors in UTS/PRS do not purchase securities in the portfolio directly",II and III,All of the above,"I, II and III",I and II,B,,
FCE Mock 1,radio,"Which of the following items are reflected in both UTS/PRS deed and prospectus/disclosure document:
I. rights and responsibilities of the investors
II. Independent experts’ reports on the fund’s suitability
III. removal, replacement and retirement of UTMC/PRS Provider and Trustee
IV. maximum fees and charges","I, Il and III","I, III and IV","I, II and IV",All of the above,B,,"Which of the following Items are reflected in both UTS/PRS deed and prospectus/disclosure document:
I. rights and responsibilities of the investors
III. removal, replacement and retirement of UTMC/PRS Provider and Trustee
IV. maximum fees and charges"
FCE Mock 1,radio,What is the MAIN reason for the financial planning industry to shift from a commission-based payment to charging advisory fees?,Commission models are considered old-fashioned in today’s market,Clients have frequently complained about the size of commissions,"Commission based payment which is transaction-driven, makes it inappropriate when advising clients on setting and achieving financial goals",Advisory fees generally generate higher income for firms,C,,"Commission based payment which is transaction-driven, makes it inappropriate when advising clients on setting and achieving financial goals"
FCE Mock 1,radio,"Apart from FIMM, which other regulators' functions have an impact on the UTS and PRS industry?
I. Securities Commission Malaysia
II. Bank Negara Malaysia
III. Bursa Malaysia
IV. Companies Commission of Malaysia",I and III,All of the above,I and II,"I, II and III",B,,"Besides FIMM, which other regulators functions have an impact on the UTS and PRS Industry?
I. Securities Commission Malaysia
II. Bank Negara Malaysia
III. Bursa Malaysia
IV. Companies Commission of Malaysia"
FCE Mock 1,radio,"Which of the following areas are typically included in a comprehensive financial planning process?
I. Cash Management
II. Risk Management and Insurance Planning
III. Investment Planning
IV. Retiremant and Estate Planning
V. Tax Planning","I, II, III and IV","I, III, IV and V",All of the above,"I, II, III and V",C,,"Which of the following aspects of an individual's financial life are covered in financial planning?
I. Cash Management:
II. Risk Management and Insurance Planning
III. Investment Planning
IV. Retirement and Estate Planning
V. Tax Planning"
FCE Mock 1,radio,Which of the following statement is CORRECT about the size of agency unit for CUTA/CPRA?,An agency unit should not exceed 36 persons,An agency unit has no limitation,An agency unit should not exceed 40 persons,An agency unit should not exceed 28 persons,A,,An agency unit should not exceed 36 persons
FCE Mock 1,radio,"Which of the following statements on mandatory pension schemes are TRUE?
I. Mandatory pension schemes are retirement schemes that are mandated by law
II. In Malaysia, all private sector employees must participate in the EPF scheme
III. EPF savings can be withdrawn at the retirement age while a portion of it can only be withdrawn under specific circumstances
IV. Buying annuity products is considered part of mandatory pension schemes","I, III and IV","I, Il and III",All of the above,"I, II and IV",B,,"Which of the following statements on mandatory pension schemes are TRUE?
I. Mandatory pension schemes are retirement schemes that are mandated by law
II. In Malaysia, all private sector employees must participate in the EPF scheme
III. EPF savings can be withdrawn at the retirement age while a portion of it can only be withdrawn under specific circumstances"
FCE Mock 1,radio,"The followings are characteristics of investment linked funds:
I. Investment linked funds are overseen by a Trustee and fall directly under SC regulation
II. Investment linked funds must comply with the disclosure requirements set out in SC’s CIS guidelines
III. Investment linked funds are jointly regulated by the Securities Commission and Bank Negara Malaysia
IV. Investment linked fund is considered a form of unit trust scheme.",II and III,I and III,I and IV,None of the above,D,,"Investment link funds:
- not a type of UTS
- under the purview of the BNM
- not subject to monitoring by a Trustee nor scrutiny by the SC
- not required to meet the disclosure provisions within the rules and regulation of the SC"
FCE Mock 1,radio,Which of the following is an example of poor after sales service?,Sending periodic performance reports to investors,Assisting investors in adjusting their portfolios when needed,Guiding investor on ways to manage their investment,Promoting growth funds to investors with conservative risk profile,D,,poor service: Promoting growth funds to investors with conservative risk profile
