title,type,question,A,B,C,D,answer,image,explain
FCE Mock 1,radio,"The followings are characteristics of investment linked funds:
I. Investment linked funds are overseen by a Trustee and fall directly under SC regulation
II. Investment linked funds must comply with the disclosure requirements set out in SC’s CIS guidelines
III. Investment linked funds are jointly regulated by the Securities Commission and Bank Negara Malaysia
IV. Investment linked fund is considered a form of unit trust scheme.",II and III,I and III,I and IV,None of the above,D,,"Investment link funds:
- not a type of UTS
- under the purview of the BNM
- not subject to monitoring by a Trustee nor scrutiny by the SC
- not required to meet the disclosure provisions within the rules and regulation of the SC"
FCE Mock 1,radio,Which of the following is an example of poor after sales service?,Sending periodic performance reports to investors,Assisting investors in adjusting their portfolios when needed,Guiding investor on ways to manage their investment,Promoting growth funds to investors with conservative risk profile,D,,poor service: Promoting growth funds to investors with conservative risk profile
FCE Mock 1,radio,"Which of the following are represent key advantages of PRS?
I. Provide a pool of funds to support retirees during retirement phase
II. Benefit to the Malaysian capital market
III. Reduce the burden on Government finances
IV. Additional source of long-term capital for economic growth",All of the above,II and III,I and IV,I and II,A,,"Which of the following are the benefits of PRS?
I. Provide a pool of funds to support retirees during retirement phase
II. Benefit to the Malaysian capital market
III. Reduce the burden on Government finances
IV. Additional source of long-term capital for economic growth"
FCE Mock 1,radio,"Mr. Farid is a young investor who would like to invest in Shariah-compliant securities. He may invest in the following products, EXCEPT:",Shares of a conventional financial institution,Shares of halal Companies,Islamic Debt instruments,Sukuk,A,,Shares of a conventional financial institution - Not Shariah-compliant
FCE Mock 1,radio,"As of 1 May 2020, Mabel owned 1,000 units of Equity Growth Fund with an NAV price per unit of RM2.00. A distribution of RM0.40 per unit was declared and paid in the form of units. Immediately after the distribution payment, the NAV price per unit of Equity Growth Fund was reduced to RM1.60. What is the total number of units Mabel owns after the distribution?",900 units,750 units,"2,000 units","1,250 units",D,,
FCE Mock 1,radio,"The qualitative analysis of the performance of a unit trust scheme (UTS) include the assessment on the following items, EXCEPT:",Investment management style,UTMC credibility,Service aspects,UTMC's Director Anti Money Laundering Act (AMLA) checking,D,,"The qualitative analysis of the performance of a UTS include the assessment on the following items, EXCEPT: UTMC's Director AMLA checking"
FCE Mock 1,radio,"Jason, who is a UTS and PRS consultant, has executed a transaction by using a form that was pre-signed by her client. Which of the following core principle of the FIMM's Code of Ethics did Jason breach?",Honesty and Integrity,Professionalism,Avoidance of conflict of interest,Disclosure of information,B,,Professionalism
FCE Mock 1,radio,"Which of the following are the risks associated with borrowing to invest in UTS?
I. Margin call
II. Interest rate fluctuations
III. Default in loan repayment
IV. Exposure to political or country-specific instability",All of the above,"II, III and IV","I, II and III",I and III,C,,
FCE Mock 1,radio,"Select the CORRECT examples of changes to a fund that may materially prejudice the interests of unit holders
I. change of the nature or objective of the fund
II. change in distribution policy
III. increase in fees or charges
IV. switching to a new outsourced IT vendor",II and III,All of the above,"I, II, and III",I and II,C,,"Examples of changes to a fund that may materially prejudice the Interests of unit holders
I. change of the nature or objective of the fund
II. change in distribution policy
III. increase in fees or charges"
FCE Mock 1,radio,"Which documents outline the regulatory requirements pertaining to the disclosure documents of a Private Retirement Scheme(PRS)?
I. Capital Markets and Services Act 2007
II. Guidelines on Prospectus for Shares and Debentures
III. Guidelines on Private Retirement Schemes
IV. Capital Markets and Services (Private Retirement Scheme Industry) Regulations 2012",III and IV,I and III,"I, III and IV",All of the above,C,,"Which documents outline the regulatory requirements pertaining to the disclosure documents of a Private Retirement Scheme?
I. Capital Markets and Services Act 2007
III. Guidelines on Private Retirement Schemes
IV. Capital Markets and Services (Private Retirement Scheme Industry) Regulations 2012"
